pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,81058,3230,68798,9030,3.98,2020-03-17
Italia,31506,2503,2941,26062,7.94,2020-03-17
Irán,16169,988,5389,9792,6.11,2020-03-17
España,11748,533,1028,10187,4.54,2020-03-17
Alemania,9257,24,67,9166,0.26,2020-03-17
Corea del Sur,8320,81,1407,6832,0.97,2020-03-17
Francia,7683,148,12,7523,1.93,2020-03-17
EEUU,6374,108,17,6249,1.69,2020-03-17
Suiza,2700,27,4,2669,1,2020-03-17
Reino Unido,1960,56,53,1851,2.86,2020-03-17
Holanda,1708,43,2,1663,2.52,2020-03-17
Noruega,1463,3,1,1459,0.21,2020-03-17
Austria,1332,3,1,1328,0.23,2020-03-17
Bélgica,1243,10,1,1232,0.8,2020-03-17
Suecia,1190,7,1,1182,0.59,2020-03-17
Dinamarca,1024,4,1,1019,0.39,2020-03-17
Japón,878,29,144,705,3.3,2020-03-17
Crucero Diamond Princess,743,7,325,411,0.94,2020-03-17
Malasia,673,2,49,622,0.3,2020-03-17
Canadá,478,5,9,464,1.05,2020-03-17
Australia,452,5,23,424,1.11,2020-03-17
Portugal,448,1,3,444,0.22,2020-03-17
Qatar,439,0,4,435,0,2020-03-17
República Checa,396,0,3,393,0,2020-03-17
Grecia,387,5,8,374,1.29,2020-03-17
Israel,337,0,11,326,0,2020-03-17
Brasil,321,1,2,318,0.31,2020-03-17
Finlandia,321,0,10,311,0,2020-03-17
Eslovenia,275,1,0,274,0.36,2020-03-17
Singapur,266,0,114,152,0,2020-03-17
Polonia,238,5,13,220,2.1,2020-03-17
Pakistán,236,0,2,234,0,2020-03-17
Baréin,228,1,81,146,0.44,2020-03-17
Estonia,225,0,1,224,0,2020-03-17
Irlanda,223,2,5,216,0.9,2020-03-17
Islandia,220,1,0,219,0.45,2020-03-17
Chile,201,0,0,201,0,2020-03-17
Egipto,196,4,32,160,2.04,2020-03-17
Filipinas,187,12,5,170,6.42,2020-03-17
Rumania,184,0,16,168,0,2020-03-17
Tailandia,177,1,41,135,0.56,2020-03-17
Indonesia,172,5,8,159,2.91,2020-03-17
Arabia Saudita,171,0,6,165,0,2020-03-17
Iraq,154,11,32,111,7.14,2020-03-17
India,142,3,14,125,2.11,2020-03-17
Luxemburgo,140,1,0,139,0.71,2020-03-17
Kuwait,130,0,9,121,0,2020-03-17
Líbano,120,3,3,114,2.5,2020-03-17
Perú,117,0,1,116,0,2020-03-17
Rusia,114,0,8,106,0,2020-03-17
San Marino,109,7,4,98,6.42,2020-03-17
EAU,98,0,23,75,0,2020-03-17
México,82,0,4,78,0,2020-03-17
Armenia,78,0,1,77,0,2020-03-17
Taiwán,77,1,22,54,1.3,2020-03-17
Eslovaquia,72,0,0,72,0,2020-03-17
Panamá,69,1,0,68,1.45,2020-03-17
Argentina,68,2,3,63,2.94,2020-03-17
Bulgaria,67,2,0,65,2.99,2020-03-17
Vietnam,66,0,16,50,0,2020-03-17
Colombia,65,0,1,64,0,2020-03-17
Croacia,65,0,4,61,0,2020-03-17
Serbia,65,0,1,64,0,2020-03-17
Sudáfrica,62,0,0,62,0,2020-03-17
Argelia,60,4,12,44,6.67,2020-03-17
Ecuador,58,2,0,56,3.45,2020-03-17
Brunei,56,0,0,56,0,2020-03-17
Albania,55,1,0,54,1.82,2020-03-17
Hungría,50,1,2,47,2,2020-03-17
Letonia,49,0,1,48,0,2020-03-17
Turquía,47,1,0,46,2.13,2020-03-17
Chipre,46,0,0,46,0,2020-03-17
Sri Lanka,44,0,1,43,0,2020-03-17
Costa Rica,41,0,0,41,0,2020-03-17
Andorra,39,0,1,38,0,2020-03-17
Malta,38,0,2,36,0,2020-03-17
Marruecos,38,2,1,35,5.26,2020-03-17
Bielorrusia,36,0,3,33,0,2020-03-17
Georgia,34,0,1,33,0,2020-03-17
Jordania,34,0,1,33,0,2020-03-17
Camboya,33,0,1,32,0,2020-03-17
Kazajistán,33,0,0,33,0,2020-03-17
Venezuela,33,0,0,33,0,2020-03-17
Moldova,30,0,1,29,0,2020-03-17
Uruguay,29,0,0,29,0,2020-03-17
Azerbaiyán,28,1,6,21,3.57,2020-03-17
Bosnia y Herzegovina,26,0,2,24,0,2020-03-17
Macedonia del Norte,26,0,1,25,0,2020-03-17
Senegal,26,0,2,24,0,2020-03-17
Lituania,25,0,1,24,0,2020-03-17
Omán,24,0,9,15,0,2020-03-17
Túnez,24,0,0,24,0,2020-03-17
Afganistán,22,0,1,21,0,2020-03-17
República Dominicana,21,1,0,20,4.76,2020-03-17
Guadalupe,18,0,0,18,0,2020-03-17
Martinica,16,1,0,15,6.25,2020-03-17
Burkina Faso,15,0,0,15,0,2020-03-17
Ucrania,14,2,0,12,14.29,2020-03-17
Maldivas,13,0,0,13,0,2020-03-17
Jamaica,12,0,2,10,0,2020-03-17
Nueva Zelanda,12,0,0,12,0,2020-03-17
Bolivia,11,0,0,11,0,2020-03-17
Guayana Francesa,11,0,0,11,0,2020-03-17
Bangladesh,10,0,3,7,0,2020-03-17
Camerún,10,0,0,10,0,2020-03-17
Uzbekistán,10,0,0,10,0,2020-03-17
Paraguay,9,0,0,9,0,2020-03-17
Reunion,9,0,0,9,0,2020-03-17
Honduras,8,0,0,8,0,2020-03-17
Ghana,7,0,0,7,0,2020-03-17
Guyana,7,1,0,6,14.29,2020-03-17
Liechtenstein,7,0,0,7,0,2020-03-17
Mónaco,7,0,0,7,0,2020-03-17
Ruanda,7,0,0,7,0,2020-03-17
Guatemala,6,1,0,5,16.67,2020-03-17
Costa de Marfil,5,0,1,4,0,2020-03-17
Cuba,5,0,0,5,0,2020-03-17
Etiopía,5,0,0,5,0,2020-03-17
Mongolia,5,0,0,5,0,2020-03-17
Trinidad y Tobago,5,0,0,5,0,2020-03-17
Seychelles,4,0,0,4,0,2020-03-17
Aruba,3,0,0,3,0,2020-03-17
Guam,3,0,0,3,0,2020-03-17
Kenya,3,0,0,3,0,2020-03-17
Nigeria,3,0,0,3,0,2020-03-17
Rep. Dem. del Congo,3,0,0,3,0,2020-03-17
Barbados,2,0,0,2,0,2020-03-17
Kosovo,2,0,0,2,0,2020-03-17
Montenegro,2,0,0,2,0,2020-03-17
Namibia,2,0,0,2,0,2020-03-17
Santa Lucía,2,0,0,2,0,2020-03-17
Antigua y Barbuda,1,0,0,1,0,2020-03-17
Bahamas,1,0,0,1,0,2020-03-17
Benin,1,0,0,1,0,2020-03-17
Bután,1,0,0,1,0,2020-03-17
Ciudad del Vaticano,1,0,0,1,0,2020-03-17
Equatorial Guinea,1,0,0,1,0,2020-03-17
Esuatini,1,0,0,1,0,2020-03-17
Gabón,1,0,0,1,0,2020-03-17
Gambia,1,0,0,1,0,2020-03-17
Greenland,1,0,0,1,0,2020-03-17
Guinea,1,0,0,1,0,2020-03-17
Liberia,1,0,0,1,0,2020-03-17
Mauritania,1,0,0,1,0,2020-03-17
Mayotte,1,0,0,1,0,2020-03-17
Nepal,1,0,1,0,0,2020-03-17
República Centroafricana,1,0,0,1,0,2020-03-17
República del Congo,1,0,0,1,0,2020-03-17
San Vincente y las Granadinas,1,0,0,1,0,2020-03-17
Somalia,1,0,0,1,0,2020-03-17
Sudán,1,1,0,0,100,2020-03-17
Surinam,1,0,0,1,0,2020-03-17
Tanzania,1,0,0,1,0,2020-03-17
Togo,1,0,0,1,0,2020-03-17
Guernsey,0,0,0,0,NaN,2020-03-17
Jersey,0,0,0,0,NaN,2020-03-17
Palestina,0,0,0,0,NaN,2020-03-17
Puerto Rico,0,0,0,0,NaN,2020-03-17
Republic of the Congo,0,0,0,0,NaN,2020-03-17
