pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,81156,3249,70535,7372,4,2020-03-19
Italia,41035,3405,4440,33190,8.3,2020-03-19
Irán,18407,1284,5710,11413,6.98,2020-03-19
España,17963,830,1107,16026,4.62,2020-03-19
Alemania,15320,44,113,15163,0.29,2020-03-19
EEUU,13633,200,108,13325,1.47,2020-03-19
Francia,10886,243,12,10631,2.23,2020-03-19
Corea del Sur,8565,91,1540,6934,1.06,2020-03-19
Suiza,4075,41,15,4019,1.01,2020-03-19
Reino Unido,2716,138,67,2511,5.08,2020-03-19
Holanda,2465,77,2,2386,3.12,2020-03-19
Austria,2013,6,9,1998,0.3,2020-03-19
Bélgica,1795,21,31,1743,1.17,2020-03-19
Noruega,1746,7,1,1738,0.4,2020-03-19
Suecia,1439,11,16,1412,0.76,2020-03-19
Dinamarca,1225,6,1,1218,0.49,2020-03-19
Japón,924,29,150,745,3.14,2020-03-19
Malasia,900,2,75,823,0.22,2020-03-19
Canadá,800,9,9,782,1.12,2020-03-19
Portugal,785,3,3,779,0.38,2020-03-19
Crucero Diamond Princess,759,7,325,427,0.92,2020-03-19
República Checa,694,0,3,691,0,2020-03-19
Australia,681,6,26,649,0.88,2020-03-19
Israel,677,0,11,666,0,2020-03-19
Brasil,621,6,2,613,0.97,2020-03-19
Irlanda,557,3,5,549,0.54,2020-03-19
Qatar,460,0,4,456,0,2020-03-19
Pakistán,454,2,13,439,0.44,2020-03-19
Grecia,418,6,8,404,1.44,2020-03-19
Finlandia,400,0,10,390,0,2020-03-19
Polonia,355,5,1,349,1.41,2020-03-19
Singapur,345,0,114,231,0,2020-03-19
Luxemburgo,335,4,0,331,1.19,2020-03-19
Islandia,330,1,5,324,0.3,2020-03-19
Indonesia,311,25,11,275,8.04,2020-03-19
Eslovenia,286,1,0,285,0.35,2020-03-19
Baréin,278,1,100,177,0.36,2020-03-19
Rumania,277,0,25,252,0,2020-03-19
Arabia Saudita,274,0,6,268,0,2020-03-19
Tailandia,272,1,42,229,0.37,2020-03-19
Estonia,267,0,1,266,0,2020-03-19
Egipto,256,6,32,218,2.34,2020-03-19
Chile,238,0,0,238,0,2020-03-19
Perú,234,0,1,233,0,2020-03-19
Filipinas,217,17,8,192,7.83,2020-03-19
Ecuador,199,3,0,196,1.51,2020-03-19
Rusia,199,1,9,189,0.5,2020-03-19
India,194,4,15,175,2.06,2020-03-19
Iraq,192,13,43,136,6.77,2020-03-19
Turquía,192,3,0,189,1.56,2020-03-19
Líbano,157,4,4,149,2.55,2020-03-19
Sudáfrica,150,0,0,150,0,2020-03-19
Kuwait,148,0,18,130,0,2020-03-19
EAU,140,0,31,109,0,2020-03-19
Eslovaquia,123,1,0,122,0.81,2020-03-19
San Marino,119,11,4,104,9.24,2020-03-19
México,118,1,4,113,0.85,2020-03-19
Armenia,115,0,1,114,0,2020-03-19
Panamá,109,1,0,108,0.92,2020-03-19
Taiwán,108,1,26,81,0.93,2020-03-19
Croacia,105,1,5,99,0.95,2020-03-19
Serbia,103,0,1,102,0,2020-03-19
Colombia,102,0,1,101,0,2020-03-19
Argentina,97,3,3,91,3.09,2020-03-19
Bulgaria,94,3,0,91,3.19,2020-03-19
Argelia,87,9,32,46,10.34,2020-03-19
Letonia,86,0,1,85,0,2020-03-19
Vietnam,85,0,16,69,0,2020-03-19
Uruguay,79,0,0,79,0,2020-03-19
Brunei,75,0,0,75,0,2020-03-19
Hungría,73,1,2,70,1.37,2020-03-19
Costa Rica,69,1,0,68,1.45,2020-03-19
Jordania,69,0,1,68,0,2020-03-19
Chipre,67,0,0,67,0,2020-03-19
Albania,64,2,0,62,3.12,2020-03-19
Bosnia y Herzegovina,63,0,2,61,0,2020-03-19
Marruecos,63,2,1,60,3.17,2020-03-19
Sri Lanka,60,0,3,57,0,2020-03-19
Andorra,53,0,1,52,0,2020-03-19
Malta,53,0,2,51,0,2020-03-19
Bielorrusia,51,0,5,46,0,2020-03-19
Moldova,49,1,1,47,2.04,2020-03-19
Macedonia del Norte,48,0,1,47,0,2020-03-19
Omán,48,0,12,36,0,2020-03-19
Azerbaiyán,44,1,6,37,2.27,2020-03-19
Kazajistán,44,0,0,44,0,2020-03-19
Venezuela,42,0,0,42,0,2020-03-19
Georgia,40,0,1,39,0,2020-03-19
Túnez,39,1,0,38,2.56,2020-03-19
Camboya,37,0,1,36,0,2020-03-19
Lituania,36,0,1,35,0,2020-03-19
República Dominicana,34,2,0,32,5.88,2020-03-19
Burkina Faso,33,1,0,32,3.03,2020-03-19
Guadalupe,33,0,0,33,0,2020-03-19
Senegal,31,0,2,29,0,2020-03-19
Liechtenstein,28,0,0,28,0,2020-03-19
Nueva Zelanda,28,0,0,28,0,2020-03-19
Martinica,23,1,0,22,4.35,2020-03-19
Uzbekistán,23,0,0,23,0,2020-03-19
Afganistán,22,0,1,21,0,2020-03-19
Bangladesh,17,1,3,13,5.88,2020-03-19
Ucrania,16,2,0,14,12.5,2020-03-19
Jamaica,15,1,2,12,6.67,2020-03-19
Rep. Dem. del Congo,14,0,0,14,0,2020-03-19
Reunion,14,0,0,14,0,2020-03-19
Camerún,13,0,0,13,0,2020-03-19
Maldivas,13,0,0,13,0,2020-03-19
Bolivia,12,0,0,12,0,2020-03-19
Honduras,12,0,0,12,0,2020-03-19
Cuba,11,1,0,10,9.09,2020-03-19
Ghana,11,0,0,11,0,2020-03-19
Guayana Francesa,11,0,0,11,0,2020-03-19
Paraguay,11,0,0,11,0,2020-03-19
