pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,81102,3241,69755,8106,4,2020-03-18
Italia,35713,2978,4025,28710,8.34,2020-03-18
Irán,17361,1135,5389,10837,6.54,2020-03-18
España,13910,623,1081,12206,4.48,2020-03-18
Alemania,12327,28,105,12194,0.23,2020-03-18
Francia,9052,148,12,8892,1.63,2020-03-18
Corea del Sur,8413,84,1540,6789,1,2020-03-18
EEUU,7739,118,106,7515,1.52,2020-03-18
Suiza,3028,28,15,2985,0.92,2020-03-18
Reino Unido,2642,72,67,2503,2.73,2020-03-18
Holanda,2056,58,2,1996,2.82,2020-03-18
Austria,1646,4,9,1633,0.24,2020-03-18
Noruega,1550,6,1,1543,0.39,2020-03-18
Bélgica,1486,14,31,1441,0.94,2020-03-18
Suecia,1279,10,1,1268,0.78,2020-03-18
Dinamarca,1115,4,1,1110,0.36,2020-03-18
Japón,889,29,144,716,3.26,2020-03-18
Malasia,790,2,60,728,0.25,2020-03-18
Crucero Diamond Princess,759,7,325,427,0.92,2020-03-18
Canadá,657,8,9,640,1.22,2020-03-18
Australia,568,6,23,539,1.06,2020-03-18
República Checa,464,0,3,461,0,2020-03-18
Qatar,452,0,4,448,0,2020-03-18
Portugal,448,2,3,443,0.45,2020-03-18
Israel,433,0,11,422,0,2020-03-18
Grecia,418,5,8,405,1.2,2020-03-18
Brasil,372,3,2,367,0.81,2020-03-18
Finlandia,336,0,10,326,0,2020-03-18
Singapur,313,0,114,199,0,2020-03-18
Pakistán,299,0,2,297,0,2020-03-18
Irlanda,292,2,5,285,0.68,2020-03-18
Eslovenia,275,1,0,274,0.36,2020-03-18
Rumania,260,0,19,241,0,2020-03-18
Estonia,258,0,1,257,0,2020-03-18
Baréin,256,1,88,167,0.39,2020-03-18
Polonia,251,5,13,233,1.99,2020-03-18
Islandia,250,1,5,244,0.4,2020-03-18
Chile,238,0,0,238,0,2020-03-18
Indonesia,227,19,11,197,8.37,2020-03-18
Tailandia,212,1,42,169,0.47,2020-03-18
Luxemburgo,203,2,0,201,0.99,2020-03-18
Filipinas,202,19,5,178,9.41,2020-03-18
Egipto,196,6,32,158,3.06,2020-03-18
Arabia Saudita,171,0,6,165,0,2020-03-18
Iraq,164,12,43,109,7.32,2020-03-18
India,156,3,14,139,1.92,2020-03-18
Rusia,147,0,8,139,0,2020-03-18
Perú,145,0,1,144,0,2020-03-18
Kuwait,142,0,15,127,0,2020-03-18
Líbano,133,3,3,127,2.26,2020-03-18
San Marino,119,11,4,104,9.24,2020-03-18
Sudáfrica,116,0,0,116,0,2020-03-18
EAU,113,0,26,87,0,2020-03-18
Ecuador,111,2,0,109,1.8,2020-03-18
Eslovaquia,105,1,0,104,0.95,2020-03-18
Taiwán,100,1,22,77,1,2020-03-18
Turquía,98,1,0,97,1.02,2020-03-18
Colombia,93,0,1,92,0,2020-03-18
México,93,0,4,89,0,2020-03-18
Bulgaria,92,2,0,90,2.17,2020-03-18
Panamá,86,1,0,85,1.16,2020-03-18
Armenia,84,0,1,83,0,2020-03-18
Serbia,83,0,1,82,0,2020-03-18
Croacia,81,0,4,77,0,2020-03-18
Argentina,79,2,3,74,2.53,2020-03-18
Vietnam,75,0,16,59,0,2020-03-18
Argelia,74,7,12,55,9.46,2020-03-18
Letonia,71,0,1,70,0,2020-03-18
Brunei,68,0,0,68,0,2020-03-18
Albania,59,2,0,57,3.39,2020-03-18
Hungría,58,1,2,55,1.72,2020-03-18
Jordania,52,0,1,51,0,2020-03-18
Bielorrusia,51,0,5,46,0,2020-03-18
Sri Lanka,51,0,1,50,0,2020-03-18
Costa Rica,50,0,0,50,0,2020-03-18
Uruguay,50,0,0,50,0,2020-03-18
Chipre,49,0,0,49,0,2020-03-18
Marruecos,49,2,1,46,4.08,2020-03-18
Andorra,39,0,1,38,0,2020-03-18
Omán,39,0,12,27,0,2020-03-18
Bosnia y Herzegovina,38,0,2,36,0,2020-03-18
Georgia,38,0,1,37,0,2020-03-18
Malta,38,0,2,36,0,2020-03-18
Venezuela,36,0,0,36,0,2020-03-18
Camboya,35,0,1,34,0,2020-03-18
Kazajistán,35,0,0,35,0,2020-03-18
Macedonia del Norte,35,0,1,34,0,2020-03-18
Senegal,31,0,2,29,0,2020-03-18
Moldova,30,1,1,28,3.33,2020-03-18
Túnez,29,0,0,29,0,2020-03-18
Azerbaiyán,28,1,6,21,3.57,2020-03-18
Liechtenstein,28,0,0,28,0,2020-03-18
Guadalupe,27,0,0,27,0,2020-03-18
Lituania,27,0,1,26,0,2020-03-18
Afganistán,22,0,1,21,0,2020-03-18
República Dominicana,21,1,0,20,4.76,2020-03-18
Burkina Faso,20,1,0,19,5,2020-03-18
Nueva Zelanda,20,0,0,20,0,2020-03-18
Martinica,19,1,0,18,5.26,2020-03-18
Uzbekistán,15,0,0,15,0,2020-03-18
Bangladesh,14,1,3,10,7.14,2020-03-18
Ucrania,14,2,0,12,14.29,2020-03-18
